name,latitude,longitude,style
Bielsk Podlaski,52.7652,23.18671667,1
Brańsk,52.74326667,22.84141667,1
Czarna Białostocka,53.30568333,23.28041667,1
Goniądz,53.489748375771185,22.735125137292837,1
Gródek,53.09556667,23.65948333,1
Hajnówka,52.73925,23.58163333,1
Jeżewo Stare,53.137686770931374,22.74129967144518,1
Knyszyn,53.31213333,22.91865,1
Korycin,53.4451,23.09078333,1
Królowy Most,53.14070777523089,23.473166191618756,1
Lelis,53.17781667,21.55658333,1
Michałowo,53.03281667,23.60635,1
Mońki,53.40446667,22.7972,1
Narew,52.91286667,23.5193,1
Ostrołęka,53.08746877165989,21.559135627563276,1
Rafałówka,53.055836341930316,23.338677694035642,1
Rutki-Kossaki,53.09151740601854,22.435174292894477,1
Siemianówka,52.89918333,23.83911667,1
Siemiatycze,52.42788333,22.86276667,1
Sokółka,53.404,23.50798333,1
Suchowola,53.57773333,23.10585,1
Supraśl,53.21008333,23.3358,1
Szepietowo,52.87005,22.54146667,1
Tykocin,53.20643333,22.77388333,1
Wizna,53.19385,22.38176667,1
Wysokie Mazowieckie,52.91558333,22.50943333,1
Zabłudów,53.0142,23.33836667,1
Zambrów,52.98546667,22.24413333,1
Łapy,52.99046667,22.88365,1
Łomża,53.18073333,22.07673333,1
